,city,kind,market,corp,wide,year,month,area,ratio,amount,inn,out,AT_1,AT_7,AT_10,AT_12,HT_7,HT_10,LT_2,RAIN_3,RAIN_6,RAIN_7,RAIN_8,RAIN_10,SUN_1,SUN_2,SUN_4,SUN_5,SUN_7,SUN_10,SUN_11
0,0,4,5,23,1,21,12,38.1726605990987,75.0883759617384,60.744628330899296,2.0312392041448333,0.0069213084461538414,-0.4,23.7,14.4,1.7,28.6,21.4,-4.2,36.0,147.5,226.7,92.3,167.1,230.6,189.4,178.3,240.8,136.8,179.3,164.1
1,0,4,5,23,1,21,11,38.1726605990987,75.0883759617384,60.744628330899296,8.799043710838209,7.436067635217069,-0.4,23.7,14.4,1.7,28.6,21.4,-4.2,36.0,147.5,226.7,92.3,167.1,230.6,189.4,178.3,240.8,136.8,179.3,164.1
2,0,4,5,23,1,21,10,38.1726605990987,75.0883759617384,60.744628330899296,3.0610384970842595,28.523537890297362,-0.4,23.7,14.4,1.7,28.6,21.4,-4.2,36.0,147.5,226.7,92.3,167.1,230.6,189.4,178.3,240.8,136.8,179.3,164.1
3,0,4,5,23,1,22,8,24.874083237607138,87.8353087960075,42.567564080731145,11.137266869526398,2.89642915854646,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
4,0,4,5,23,1,22,7,24.874083237607138,87.8353087960075,42.567564080731145,4.866818398030924,16.662644352240946,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
5,0,4,5,23,1,22,6,24.874083237607138,87.8353087960075,42.567564080731145,3.5838054418148455,6.793541092237841,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
6,0,4,5,23,1,22,5,24.874083237607138,87.8353087960075,42.567564080731145,3.2813712501211545,0.2622459903666843,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
7,0,4,5,23,1,22,4,24.874083237607138,87.8353087960075,42.567564080731145,12.241217616568814,0.022864184453156487,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
8,0,4,5,23,1,22,3,24.874083237607138,87.8353087960075,42.567564080731145,13.105559620628842,0.007398640063129969,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
9,0,4,5,23,1,22,2,24.874083237607138,87.8353087960075,42.567564080731145,4.845444999679543,0.0953708570718302,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
10,0,4,5,23,1,22,1,24.874083237607138,87.8353087960075,42.567564080731145,7.028363132868284,0.01694527240265251,1.9,22.1,12.6,-0.3,26.1,20.8,-3.1,28.3,181.4,591.6,467.0,11.9,160.7,203.2,277.0,244.2,92.5,227.1,199.4
11,1,4,5,34,2,21,12,29.150835026950602,60.55312954876274,42.421177389362796,2.0312392041448333,0.0069213084461538414,1.7,25.8,16.8,3.5,30.0,22.0,-0.9,20.7,160.8,139.4,141.9,155.2,228.9,193.9,188.1,295.6,156.3,199.2,185.2
12,1,4,5,34,2,21,11,29.150835026950602,60.55312954876274,42.421177389362796,8.799043710838209,7.436067635217069,1.7,25.8,16.8,3.5,30.0,22.0,-0.9,20.7,160.8,139.4,141.9,155.2,228.9,193.9,188.1,295.6,156.3,199.2,185.2
13,1,4,5,34,2,21,10,29.150835026950602,60.55312954876274,42.421177389362796,3.0610384970842595,28.523537890297362,1.7,25.8,16.8,3.5,30.0,22.0,-0.9,20.7,160.8,139.4,141.9,155.2,228.9,193.9,188.1,295.6,156.3,199.2,185.2
14,1,4,5,34,2,22,8,20.809401784925335,73.59118319817009,32.83603142411373,11.137266869526398,2.89642915854646,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
15,1,4,5,34,2,22,7,20.809401784925335,73.59118319817009,32.83603142411373,4.866818398030924,16.662644352240946,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
16,1,4,5,34,2,22,6,20.809401784925335,73.59118319817009,32.83603142411373,3.5838054418148455,6.793541092237841,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
17,1,4,5,34,2,22,5,20.809401784925335,73.59118319817009,32.83603142411373,3.2813712501211545,0.2622459903666843,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
18,1,4,5,34,2,22,4,20.809401784925335,73.59118319817009,32.83603142411373,12.241217616568814,0.022864184453156487,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
19,1,4,5,34,2,22,3,20.809401784925335,73.59118319817009,32.83603142411373,13.105559620628842,0.007398640063129969,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
20,1,4,5,34,2,22,2,20.809401784925335,73.59118319817009,32.83603142411373,4.845444999679543,0.0953708570718302,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
21,1,4,5,34,2,22,1,20.809401784925335,73.59118319817009,32.83603142411373,7.028363132868284,0.01694527240265251,3.8,23.2,15.4,1.6,26.8,21.3,0.2,24.5,185.3,330.5,322.7,13.1,151.4,205.4,273.7,241.7,96.7,223.0,198.5
22,2,4,5,23,2,21,12,29.150835026950602,60.55312954876274,42.421177389362796,2.0312392041448333,0.0069213084461538414,0.3,25.0,15.5,2.7,30.1,22.4,-3.1,36.6,208.6,252.4,101.8,264.1,216.0,194.4,193.7,301.8,167.4,204.8,167.5
23,2,4,5,23,2,21,11,29.150835026950602,60.55312954876274,42.421177389362796,8.799043710838209,7.436067635217069,0.3,25.0,15.5,2.7,30.1,22.4,-3.1,36.6,208.6,252.4,101.8,264.1,216.0,194.4,193.7,301.8,167.4,204.8,167.5
24,2,4,5,23,2,21,10,29.150835026950602,60.55312954876274,42.421177389362796,3.0610384970842595,28.523537890297362,0.3,25.0,15.5,2.7,30.1,22.4,-3.1,36.6,208.6,252.4,101.8,264.1,216.0,194.4,193.7,301.8,167.4,204.8,167.5
25,2,4,5,23,2,22,8,20.809401784925335,73.59118319817009,32.83603142411373,11.137266869526398,2.89642915854646,2.6,22.7,13.8,0.7,26.5,21.4,-1.5,29.7,186.8,573.2,466.2,16.3,89.0,192.4,270.7,212.2,83.0,214.0,175.5
26,2,4,5,23,2,22,7,20.809401784925335,73.59118319817009,32.83603142411373,4.866818398030924,16.662644352240946,2.6,22.7,13.8,0.7,26.5,21.4,-1.5,29.7,186.8,573.2,466.2,16.3,89.0,192.4,270.7,212.2,83.0,214.0,175.5
27,2,4,5,23,2,22,6,20.809401784925335,73.59118319817009,32.83603142411373,3.5838054418148455,6.793541092237841,2.6,22.7,13.8,0.7,26.5,21.4,-1.5,29.7,186.8,573.2,466.2,16.3,89.0,192.4,270.7,212.2,83.0,214.0,175.5
28,2,4,5,23,2,22,5,20.809401784925335,73.59118319817009,32.83603142411373,3.2813712501211545,0.2622459903666843,2.6,22.7,13.8,0.7,26.5,21.4,-1.5,29.7,186.8,573.2,466.2,16.3,89.0,192.4,270.7,212.2,83.0,214.0,175.5
29,2,4,5,23,2,22,4,20.809401784925335,73.59118319817009,32.83603142411373,12.241217616568814,0.022864184453156487,2.6,22.7,13.8,0.7,26.5,21.4,-1.5,29.7,186.8,573.2,466.2,16.3,89.0,192.4,270.7,212.2,83.0,214.0,175.5
