,도시,년,월,도매가격(원/kg)
0,거창,21,12,1041.0512109455901
1,거창,21,11,1028.9609926559024
2,거창,21,10,994.7625173846374
3,거창,22,8,666.0581215146973
4,거창,22,7,517.6216200341757
5,거창,22,6,517.10055725255
6,거창,22,5,579.7050991511232
7,거창,22,4,925.6493422609213
8,거창,22,3,1533.2781093146396
9,거창,22,2,1620.8608992433453
10,거창,22,1,1493.535603398544
11,경산,21,12,1079.9691668154726
12,경산,21,11,1069.0887711052112
13,경산,21,10,995.3767554659612
14,경산,22,8,666.3662244981134
15,경산,22,7,517.3390643665931
16,경산,22,6,516.8180015849674
17,경산,22,5,579.74584556525
18,경산,22,4,802.0052802492211
19,경산,22,3,1526.8002358172291
20,경산,22,2,1561.118184390757
21,경산,22,1,1471.0334733881934
22,고령,21,12,1082.5058664145877
23,고령,21,11,1073.195641679846
24,고령,21,10,1041.5841181107628
25,고령,22,8,667.3696568996274
26,고령,22,7,517.4386818633535
27,고령,22,6,516.9176190817277
28,고령,22,5,566.342190661475
29,고령,22,4,957.3777750762109
30,고령,22,3,1544.8545286677584
31,고령,22,2,1639.359949563972
32,고령,22,1,1496.3727287502254
33,고창,21,12,1085.6854369682826
34,고창,21,11,1077.8288041794929
35,고창,21,10,1066.5736914891716
36,고창,22,8,665.9909311175591
37,고창,22,7,517.6526839720073
38,고창,22,6,517.1316211903816
39,고창,22,5,569.539873335149
40,고창,22,4,851.1403320791786
41,고창,22,3,1473.0291393514206
42,고창,22,2,1758.495528668187
43,고창,22,1,1432.3991006803276
44,고흥,21,12,972.4096172168822
45,고흥,21,11,960.3146623279969
46,고흥,21,10,988.9909445734771
47,고흥,22,8,666.9864266779368
48,고흥,22,7,517.3108108113674
49,고흥,22,6,516.7897480297416
50,고흥,22,5,570.9664865652217
51,고흥,22,4,756.5029388664921
52,고흥,22,3,1073.7015816900175
53,고흥,22,2,1353.1381763004365
54,고흥,22,1,1156.70929989166
55,구리,21,12,669.8562744816273
56,구리,21,11,686.3865247040249
57,구리,21,10,669.3258914609354
58,구리,22,8,750.0293103115745
59,구리,22,7,687.540686638699
60,구리,22,6,689.7637737933934
61,구리,22,5,800.211968359556
62,구리,22,4,987.3020008930376
63,구리,22,3,1176.5904985400443
64,구리,22,2,1152.8889710534315
65,구리,22,1,1074.5194394235398
66,구미,21,12,1170.8296288331107
67,구미,21,11,1168.145208572468
68,구미,21,10,1111.9177116388564
69,구미,22,8,660.2731284964963
70,구미,22,7,518.0007574516186
71,구미,22,6,517.1316211903816
72,구미,22,5,580.6968276850209
73,구미,22,4,821.7162602154851
74,구미,22,3,1406.8796666045987
75,구미,22,2,1443.397913214817
76,구미,22,1,1381.1020632940676
77,김천,21,12,1128.312207219067
78,김천,21,11,1123.800080095991
79,김천,21,10,1073.3454168487801
80,김천,22,8,667.5251469162256
81,김천,22,7,518.0007574516186
82,김천,22,6,517.1316211903816
83,김천,22,5,569.9581004570101
84,김천,22,4,820.1219956204598
85,김천,22,3,985.9355243641854
86,김천,22,2,1213.1589829098182
87,김천,22,1,986.1902065703115
88,나주,21,12,903.8094492783896
89,나주,21,11,882.7020158466603
90,나주,21,10,838.4915777810346
91,나주,22,8,934.9093491710148
92,나주,22,7,838.0265588530169
93,나주,22,6,840.0428344274983
94,나주,22,5,772.7953859082187
95,나주,22,4,988.5262678520749
96,나주,22,3,1287.427610197933
97,나주,22,2,1404.4007671101406
98,나주,22,1,1269.2755029178581
99,논산,21,12,1082.2710282001458
100,논산,21,11,1073.7504596129681
101,논산,21,10,1041.014002327634
102,논산,22,8,658.340800975014
103,논산,22,7,516.9370020840807
104,논산,22,6,516.0944009538084
105,논산,22,5,567.9470646721206
106,논산,22,4,809.5298744039808
107,논산,22,3,1131.9676877594006
108,논산,22,2,1337.5608489534761
109,논산,22,1,1136.7936214661852
110,무안,21,12,1173.1370917050087
111,무안,21,11,1164.8790530425676
112,무안,21,10,1082.093786070636
113,무안,22,8,668.4586714086624
114,무안,22,7,518.0007574516186
115,무안,22,6,517.1316211903816
116,무안,22,5,572.0272134479015
117,무안,22,4,798.7634821219359
118,무안,22,3,1407.5610401879173
119,무안,22,2,1699.1521364499176
120,무안,22,1,1407.2148344858977
121,문경,21,12,1146.7795928560074
122,문경,21,11,1140.87309275916
123,문경,21,10,1081.9268903873399
124,문경,22,8,666.849604365364
125,문경,22,7,520.0446447138198
126,문경,22,6,518.6839704927077
127,문경,22,5,571.8924007756558
128,문경,22,4,1136.1600282406728
129,문경,22,3,983.4265721079654
130,문경,22,2,1261.9092752440122
131,문경,22,1,981.5799216396032
132,밀양,21,12,1091.4183734580618
133,밀양,21,11,1088.2505332892176
134,밀양,21,10,1048.3560766255068
135,밀양,22,8,657.6673586703727
136,밀양,22,7,517.8381101601367
137,밀양,22,6,516.9689738988997
138,밀양,22,5,571.454965668073
