"시점","시도별",양파:면적 (ha),10a당 생산량 (kg),생산량 (톤)
"2014","계",23911,6649,1589957
"2014","서울특별시",0,0,0
"2014","부산광역시",16,7271,1163
"2014","대구광역시",120,6089,7307
"2014","인천광역시",33,4072,1344
"2014","광주광역시",83,6628,5501
"2014","대전광역시",4,6628,265
"2014","울산광역시",62,5646,3500
"2014","경기도",217,4080,8853
"2014","강원도",59,3463,2043
"2014","충청북도",81,4569,3701
"2014","충청남도",724,6628,47988
"2014","전라북도",1654,6710,110980
"2014","전라남도",12080,6319,763335
"2014","경상북도",2602,7193,187158
"2014","경상남도",5294,7237,383139
"2014","제주도",882,7220,63678
"2015","계",18015,6072,1093932
"2015","서울특별시",0,0,0
"2015","부산광역시",17,6584,1119
"2015","대구광역시",63,4328,2727
"2015","인천광역시",25,2833,708
"2015","광주광역시",93,6603,6140
"2015","대전광역시",1,5707,57
"2015","울산광역시",36,5167,1860
"2015","경기도",177,4628,8192
"2015","강원도",46,4025,1852
"2015","충청북도",117,3467,4057
"2015","충청남도",430,5707,24539
"2015","전라북도",1352,5563,75208
"2015","전라남도",9171,5923,543208
"2015","경상북도",2080,6463,134423
"2015","경상남도",3766,6581,247845
"2015","제주도",641,6552,41997
"2016","계",19896,6528,1298749
"2016","서울특별시",0,0,0
"2016","부산광역시",21,7445,1564
"2016","대구광역시",217,7108,15425
"2016","인천광역시",35,6046,2116
"2016","광주광역시",43,5700,2451
"2016","대전광역시",2,6270,125
"2016","울산광역시",19,7445,1415
"2016","세종특별자치시",3,6270,188
"2016","경기도",217,6046,13120
"2016","강원도",16,6224,996
"2016","충청북도",65,5437,3534
"2016","충청남도",453,6270,28405
"2016","전라북도",912,6508,59351
"2016","전라남도",9521,5981,569472
"2016","경상북도",2057,7117,146390
"2016","경상남도",4749,7434,353063
"2016","제주도",1566,6458,101134
"2017","계",19538,5858,1144493
"2017","서울특별시",0,4559,22
"2017","부산광역시",10,6082,621
"2017","대구광역시",236,8734,20634
"2017","인천광역시",32,5569,1803
"2017","광주광역시",48,5580,2687
"2017","대전광역시",5,5243,255
"2017","울산광역시",18,6082,1097
"2017","세종특별자치시",2,5243,121
"2017","경기도",280,4559,12755
"2017","강원도",33,5911,1962
"2017","충청북도",85,3836,3262
"2017","충청남도",785,5243,41141
"2017","전라북도",1632,6225,101600
"2017","전라남도",9230,5578,514896
"2017","경상북도",2087,5974,124702
"2017","경상남도",3938,6081,239459
"2017","제주도",1116,6945,77476
"2018","계",26425,5756,1520969
"2018","서울특별시",0,5502,20
"2018","부산광역시",31,4881,1501
"2018","대구광역시",263,9368,24662
"2018","인천광역시",35,5632,1954
"2018","광주광역시",65,5940,3836
"2018","대전광역시",5,5570,289
"2018","울산광역시",65,6451,4212
"2018","세종특별자치시",3,5570,184
"2018","경기도",509,5502,28031
"2018","강원도",60,5542,3334
"2018","충청북도",88,5226,4605
"2018","충청남도",1233,5570,68687
"2018","전라북도",2646,6171,163291
"2018","전라남도",11327,4932,558659
"2018","경상북도",3369,6296,212066
"2018","경상남도",5471,6601,361120
"2018","제주도",1254,6740,84519
"2019","계",21777,7322,1594450
"2019","서울특별시",0,6540,29
"2019","부산광역시",16,6463,1049
"2019","대구광역시",311,8426,26244
"2019","인천광역시",52,6477,3397
"2019","광주광역시",33,6994,2321
"2019","대전광역시",4,5547,198
"2019","울산광역시",52,5984,3122
"2019","세종특별자치시",4,5485,232
"2019","경기도",493,6545,32282
"2019","강원도",102,6014,6112
"2019","충청북도",155,4353,6729
"2019","충청남도",944,5500,51922
"2019","전라북도",2373,7957,188857
"2019","전라남도",8467,6873,581958
"2019","경상북도",3309,7471,247231
"2019","경상남도",4330,8170,353752
"2019","제주도",1130,7875,89017
"2020","계",14673,7962,1168227
"2020","서울특별시",0,5942,12
"2020","부산광역시",13,7788,988
"2020","대구광역시",356,8950,31861
"2020","인천광역시",24,6595,1563
"2020","광주광역시",34,7541,2591
"2020","대전광역시",2,6614,119
"2020","울산광역시",28,6008,1657
"2020","세종특별자치시",5,6614,303
"2020","경기도",345,5942,20525
"2020","강원도",76,5864,4455
"2020","충청북도",68,4790,3275
"2020","충청남도",693,6620,45885
"2020","전라북도",1142,7896,90175
"2020","전라남도",5743,7883,452737
"2020","경상북도",2365,8098,191509
"2020","경상남도",2825,8783,248082
"2020","제주도",955,7594,72489
"2021","계",18461,8541,1576756
"2021","서울특별시",1,5921,85
"2021","부산광역시",26,6173,1581
"2021","대구광역시",332,7968,26487
"2021","인천광역시",27,7460,2049
"2021","광주광역시",42,7347,3120
"2021","대전광역시",13,7046,905
"2021","울산광역시",31,7016,2159
"2021","세종특별자치시",1,7046,104
"2021","경기도",276,5921,16352
"2021","강원도",131,6484,8480
"2021","충청북도",106,9094,9673
"2021","충청남도",924,7046,65074
"2021","전라북도",1687,8314,140261
"2021","전라남도",6775,8547,579042
"2021","경상북도",3159,9739,307653
"2021","경상남도",4023,8423,338877
"2021","제주도",906,8265,74856
