지점,지점명,일시,평균기온(°C),최고기온(°C),최저기온(°C),월합강수량(00~24h만)(mm),합계 일조시간(hr)
90,속초,2014-01,1.9,12.6,-8.8,29.3,200.9
90,속초,2014-02,1,16.7,-7.9,168.2,110.5
90,속초,2014-03,7.9,26.9,-4.2,40.4,213.9
90,속초,2014-04,13.3,27,.7,98.8,218.6
90,속초,2014-05,18.1,32.5,8.1,25,275.9
90,속초,2014-06,19.9,32.8,13.7,41.9,149.9
90,속초,2014-07,25.1,34.6,16.9,126.9,251.3
90,속초,2014-08,23.5,33.3,15.6,296.1,160.2
90,속초,2014-09,20.6,31,12.7,181,194.8
90,속초,2014-10,15.8,24.6,6.6,39.6,212.6
90,속초,2014-11,10.2,19.5,-1.9,51.6,173.4
90,속초,2014-12,.6,11.7,-10.8,.2,224
90,속초,2015-01,1.8,12.2,-7.9,8.7,185.6
90,속초,2015-02,2.4,14.5,-10.4,32.1,189.3
90,속초,2015-03,6.6,21.4,-5,8,275.9
90,속초,2015-04,11.1,29.8,1.2,74.2,185.4
90,속초,2015-05,17.8,32.6,7.8,9.2,298.6
90,속초,2015-06,19.5,30.1,12.7,127.7,191
90,속초,2015-07,22.7,35.4,14.8,163.1,171.2
90,속초,2015-08,24.2,33,16.1,198.6,193.5
90,속초,2015-09,19.1,27.1,12.5,13.5,219
90,속초,2015-10,14.7,26.2,1,27.4,240.6
90,속초,2015-11,8.4,21.7,-3.2,463.5,98.6
90,속초,2015-12,3,10.9,-7.2,1.7,164.9
90,속초,2016-01,-1.2,11.5,-16.4,6.6,191.1
90,속초,2016-02,.8,10.3,-9.4,38.3,197.6
90,속초,2016-03,7,21.5,-7.6,31.8,209.6
90,속초,2016-04,12.6,29.3,3.6,77.5,222.9
90,속초,2016-05,17.2,29,7.3,35.7,261.1
90,속초,2016-06,20.6,30.5,12.6,62.2,175.3
90,속초,2016-07,22.9,31.9,17,477.8,119.2
90,속초,2016-08,25.5,35.9,15.3,186.9,220.7
90,속초,2016-09,20.4,28.6,13.2,126,130
90,속초,2016-10,15.3,24.2,3.3,128.5,140.8
90,속초,2016-11,8.4,20.8,-2.5,40.8,172.2
90,속초,2016-12,4.4,14.1,-6.1,121.7,164.8
90,속초,2017-01,.8,11.3,-11.2,82.4,215.4
90,속초,2017-02,3,14.7,-8.2,3.2,222.2
90,속초,2017-03,7,18.5,-2.8,48.7,199.8
90,속초,2017-04,14.8,30.8,2.6,46.8,255.2
90,속초,2017-05,18.7,34.3,9.3,25.2,272.3
90,속초,2017-06,19.8,29.7,9.9,69.7,204.7
90,속초,2017-07,25.6,34.9,18.9,270.3,165.4
90,속초,2017-08,23.7,32.4,16.4,424.9,107.2
90,속초,2017-09,20.8,28.4,13.1,50.5,249.2
90,속초,2017-10,14.5,25,4,135.4,157.7
90,속초,2017-11,7.8,20.4,-4,41.2,218.5
90,속초,2017-12,.7,11.4,-9.9,9.9,230.3
90,속초,2018-01,-1.4,11.9,-16.2,3.9,214.7
90,속초,2018-02,-.5,10.5,-13.2,54.4,218.5
90,속초,2018-03,8,24.7,-6.2,55,171.2
90,속초,2018-04,13,32.5,2,141.7,227.6
90,속초,2018-05,15.9,29.4,4.5,123.6,186.4
90,속초,2018-06,21.3,33.9,13.2,46.5,208.8
90,속초,2018-07,25,35.4,14.8,185.4,209.3
90,속초,2018-08,25.6,38.7,17.2,625,185.3
90,속초,2018-09,20,29,12.6,66.1,196.1
90,속초,2018-10,13.5,23.8,.3,257.6,229.5
90,속초,2018-11,9.2,19.2,-1.9,207.4,165.7
90,속초,2018-12,1.6,12.7,-11.4,10.4,208
90,속초,2019-01,1.7,12.8,-9,8.7,232.1
90,속초,2019-02,2.5,15.7,-7.3,27.6,215.2
90,속초,2019-03,8.2,21.6,-1.4,44.4,233.1
90,속초,2019-04,11.9,25.9,1.3,80.9,230.5
90,속초,2019-05,19.8,34.2,6.5,5.7,296.2
90,속초,2019-06,20,30.2,11.5,97.8,224.8
