year,month,region,city1,city2,sales_amounts,sales_volume,prices
2014,1,경남,거창,거창,47,71,665
2014,1,경남,의령,의령군,77,129,599
2014,1,경남,창녕,밀양,167,282,591
2014,1,경남,함양,산청,321,471,683
2014,1,경남,합천,합천,6,12,500
2014,1,경북,경산,대구,91,128,710
2014,1,경북,김천,추풍령,252,342,737
2014,1,경북,문경,문경,107,132,810
2014,1,경북,안동,안동,53,68,777
2014,1,경북,영천,영천,244,356,687
2014,1,경북,의성,의성,87,123,708
2014,1,전남,고흥,고흥,28,48,572
2014,1,전남,무안,목포,4179,5970,700
2014,1,전남,신안,목포,1112,1637,679
2014,1,전남,영암,강진군,58,94,615
2014,1,전남,장흥,장흥,7,15,476
2014,1,전남,함평,영광,1224,1732,706
2014,1,전남,해남,해남,62,94,658
2014,1,전북,고창,고창,42,63,673
2014,1,전북,부안,부안,30,45,678
2014,1,전북,익산,군산,98,151,644
2014,1,충남,서산,서산,10,15,690
2014,2,경기,구리,서울,54,111,481
2014,2,경남,거창,거창,19,40,462
2014,2,경남,의령,의령군,64,103,619
2014,2,경남,창녕,밀양,82,151,541
2014,2,경남,함양,산청,95,172,551
2014,2,경남,합천,합천,95,163,579
2014,2,경북,경산,대구,272,442,616
2014,2,경북,김천,추풍령,184,277,663
2014,2,경북,문경,문경,103,148,698
2014,2,경북,안동,안동,7,14,475
2014,2,경북,영천,영천,246,453,543
2014,2,경북,의성,의성,23,31,755
2014,2,광주,광주서구,광주,2,12,177
2014,2,전남,무안,목포,3247,5225,621
2014,2,전남,신안,목포,797,1343,593
2014,2,전남,함평,영광,1007,1577,639
2014,2,전남,해남,해남,161,325,496
2014,2,전북,고창,고창,131,230,568
2014,2,전북,부안,부안,11,19,616
2014,2,전북,완주,전주,6,11,516
2014,2,전북,익산,군산,16,31,524
2014,2,제주,제주,제주,11,21,528
2014,2,충남,논산,부여,8,13,613
2014,2,충남,서산,서산,0,1,219
2014,3,경기,구리,서울,381,815,467
2014,3,경남,거창,거창,33,88,379
2014,3,경남,밀양,밀양,15,28,543
2014,3,경남,의령,의령군,50,107,469
2014,3,경남,창녕,밀양,417,903,462
2014,3,경남,함양,산청,109,231,472
2014,3,경남,합천,합천,58,142,408
2014,3,경북,경산,대구,155,386,402
2014,3,경북,군위,의성,5,15,321
2014,3,경북,김천,추풍령,211,369,572
2014,3,경북,문경,문경,55,103,529
2014,3,경북,안동,안동,40,101,393
2014,3,경북,영천,영천,436,935,466
2014,3,경북,의성,의성,10,22,452
2014,3,대구,달성,대구,6,14,385
2014,3,전남,고흥,고흥,8,18,435
2014,3,전남,나주,광주,2,4,380
2014,3,전남,무안,목포,3134,6434,487
2014,3,전남,신안,목포,800,1675,477
2014,3,전남,영암,강진군,24,44,534
2014,3,전남,장흥,장흥,26,50,531
2014,3,전남,함평,영광,1358,2659,510
2014,3,전남,해남,해남,77,166,461
2014,3,전북,고창,고창,104,204,508
2014,3,전북,부안,부안,79,191,415
2014,3,전북,완주,전주,31,60,518
2014,3,전북,익산,군산,13,47,284
2014,3,제주,서귀포,서귀포,6,11,540
2014,3,제주,제주,제주,60,164,365
2014,3,충남,논산,부여,2,5,380
2014,4,경기,구리,서울,310,593,523
2014,4,경남,의령,의령군,32,61,518
2014,4,경남,창녕,밀양,138,329,421
2014,4,경남,함양,산청,62,160,388
2014,4,경남,합천,합천,99,264,374
2014,4,경북,경산,대구,16,33,486
2014,4,경북,군위,의성,72,151,473
2014,4,경북,김천,추풍령,141,194,726
2014,4,경북,안동,안동,18,45,409
2014,4,경북,영천,영천,216,411,525
2014,4,경북,의성,의성,79,167,473
2014,4,광주,광주서구,광주,25,44,584
2014,4,전남,고흥,고흥,553,1018,543
2014,4,전남,나주,광주,15,31,480
2014,4,전남,무안,목포,2721,4842,562
2014,4,전남,신안,목포,253,555,457
2014,4,전남,여수,여수,21,51,411
2014,4,전남,영암,강진군,123,200,615
2014,4,전남,장흥,장흥,51,114,450
2014,4,전남,함평,영광,435,753,578
2014,4,전남,해남,해남,10,19,498
2014,4,전북,고창,고창,124,196,636
2014,4,전북,부안,부안,71,186,381
2014,4,전북,완주,전주,20,40,514
2014,4,제주,서귀포,서귀포,562,995,565
2014,4,제주,제주,제주,2833,5050,561
2014,5,경기,구리,서울,339,692,490
2014,5,경남,밀양,밀양,34,68,496
2014,5,경남,의령,의령군,64,147,437
2014,5,경남,창녕,밀양,229,562,408
2014,5,경남,함양,산청,12,28,415
2014,5,경남,합천,합천,13,37,341
2014,5,경북,경산,대구,41,73,560
2014,5,경북,김천,추풍령,66,141,466
2014,5,경북,문경,문경,2,4,512
2014,5,경북,영천,영천,30,51,591
2014,5,대구,달성,대구,10,25,392
2014,5,전남,고흥,고흥,307,596,515
2014,5,전남,나주,광주,14,41,351
2014,5,전남,무안,목포,8190,17297,473
2014,5,전남,신안,목포,684,1400,488
2014,5,전남,여수,여수,27,59,450
2014,5,전남,장흥,장흥,131,332,394
2014,5,전남,함평,영광,1050,2216,474
2014,5,전남,해남,해남,318,749,425
2014,5,전북,고창,고창,136,256,532
2014,5,제주,서귀포,서귀포,7,11,583
2014,5,제주,제주,제주,548,992,553
2014,5,충남,논산,부여,4,6,673
2014,5,충남,서산,서산,33,63,519
2014,6,경기,구리,서울,300,842,356
2014,6,경남,밀양,밀양,9,29,322
2014,6,경남,의령,의령군,83,244,338
2014,6,경남,창녕,밀양,357,1044,342
2014,6,경남,함양,산청,122,318,385
2014,6,경남,합천,합천,91,262,348
2014,6,경북,경산,대구,43,108,396
2014,6,경북,고령,합천,11,43,267
2014,6,경북,군위,의성,5,12,432
2014,6,경북,김천,추풍령,335,1121,299
2014,6,경북,영주,영주,6,15,375
2014,6,경북,영천,영천,20,56,366
2014,6,광주,광주서구,광주,14,51,282
2014,6,대구,달성,대구,16,42,379
2014,6,전남,고흥,고흥,52,176,296
2014,6,전남,나주,광주,31,98,311
2014,6,전남,무안,목포,4267,10876,392
2014,6,전남,신안,목포,116,342,340
2014,6,전남,영암,강진군,16,60,261
2014,6,전남,장흥,장흥,153,523,294
2014,6,전남,함평,영광,507,1557,326
2014,6,전남,해남,해남,395,1313,301
2014,6,전북,고창,고창,14,46,298
2014,6,전북,부안,부안,92,273,336
2014,6,전북,완주,전주,6,15,367
2014,6,전북,익산,군산,31,117,266
2014,6,제주,서귀포,서귀포,1,5,174
2014,6,제주,제주,제주,21,54,391
2014,6,충남,논산,부여,29,91,314
2014,6,충남,서산,서산,195,518,376
2014,7,경기,구리,서울,201,553,364
2014,7,경남,밀양,밀양,9,24,361
2014,7,경남,의령,의령군,0,0,310
2014,7,경남,창녕,밀양,370,1151,321
2014,7,경남,함양,산청,137,422,326
2014,7,경남,합천,합천,31,144,219
2014,7,경북,경산,대구,7,26,262
2014,7,경북,구미,구미,6,35,186
2014,7,경북,군위,의성,111,270,409
2014,7,경북,김천,추풍령,227,583,390
2014,7,경북,문경,문경,26,63,412
2014,7,경북,안동,안동,4,26,150
2014,7,경북,영주,영주,26,76,335
2014,7,경북,영천,영천,1,3,194
2014,7,전남,고흥,고흥,28,84,336
2014,7,전남,나주,광주,1,6,160
2014,7,전남,무안,목포,3157,8435,374
2014,7,전남,신안,목포,350,992,352
2014,7,전남,영암,강진군,15,53,289
2014,7,전남,장흥,장흥,84,265,319
2014,7,전남,함평,영광,755,1965,384
2014,7,전남,해남,해남,223,734,304
2014,7,전북,고창,고창,10,40,251
2014,7,전북,부안,부안,184,488,376
2014,7,전북,완주,전주,19,47,399
2014,7,전북,익산,군산,74,148,496
2014,7,제주,제주,제주,1,4,280
2014,7,충남,논산,부여,12,30,403
2014,7,충남,서산,서산,113,291,388
2014,8,경기,구리,서울,313,742,421
2014,8,경남,거창,거창,2,3,750
2014,8,경남,밀양,밀양,27,66,403
2014,8,경남,의령,의령군,2,10,166
2014,8,경남,창녕,밀양,496,1332,372
2014,8,경남,함양,산청,116,295,392
2014,8,경남,합천,합천,25,68,369
2014,8,경북,경산,대구,16,43,372
2014,8,경북,고령,합천,1,2,395
2014,8,경북,구미,구미,31,84,372
2014,8,경북,군위,의성,85,203,417
2014,8,경북,김천,추풍령,222,534,415
2014,8,경북,안동,안동,1,3,352
2014,8,경북,영주,영주,56,121,458
2014,8,경북,영천,영천,72,170,421
2014,8,대구,달성,대구,87,191,456
2014,8,전남,나주,광주,14,39,345
2014,8,전남,무안,목포,3349,7143,469
2014,8,전남,신안,목포,535,1179,453
2014,8,전남,영암,강진군,28,82,335
2014,8,전남,장흥,장흥,148,340,434
2014,8,전남,함평,영광,1046,2091,500
2014,8,전남,해남,해남,258,739,349
2014,8,전북,고창,고창,5,34,155
2014,8,전북,부안,부안,157,308,509
2014,8,전북,완주,전주,11,18,624
2014,8,전북,익산,군산,159,328,484
2014,8,제주,제주,제주,7,16,424
2014,8,충남,논산,부여,4,11,358
2014,8,충남,서산,서산,183,368,498
2014,9,경기,구리,서울,323,719,449
2014,9,경남,밀양,밀양,10,28,336
2014,9,경남,창녕,밀양,554,1302,426
2014,9,경남,함양,산청,107,246,436
2014,9,경남,합천,합천,40,81,488
2014,9,경북,경산,대구,47,122,386
2014,9,경북,고령,합천,2,5,379
2014,9,경북,구미,구미,23,62,374
2014,9,경북,군위,의성,38,74,510
2014,9,경북,김천,추풍령,49,112,435
2014,9,경북,문경,문경,9,18,514
2014,9,경북,영주,영주,1,2,425
2014,9,경북,영천,영천,86,206,418
2014,9,경북,의성,의성,18,32,555
2014,9,대구,달성,대구,75,151,498
2014,9,전남,고흥,고흥,6,14,415
2014,9,전남,나주,광주,35,80,435
2014,9,전남,무안,목포,2481,5235,474
2014,9,전남,신안,목포,447,988,453
2014,9,전남,영암,강진군,5,14,348
2014,9,전남,장흥,장흥,81,192,425
2014,9,전남,함평,영광,1050,2155,487
2014,9,전남,해남,해남,422,1053,401
2014,9,전북,부안,부안,139,267,518
2014,9,전북,완주,전주,48,92,520
2014,9,전북,익산,군산,27,69,388
2014,9,제주,제주,제주,0,1,200
2014,9,충남,논산,부여,6,13,446
2014,9,충남,서산,서산,92,191,482
2014,10,경기,구리,서울,386,945,408
2014,10,경남,밀양,밀양,48,150,317
2014,10,경남,창녕,밀양,644,1606,401
2014,10,경남,함양,산청,162,411,395
2014,10,경남,합천,합천,13,31,421
2014,10,경북,경산,대구,62,179,347
2014,10,경북,고령,합천,40,103,391
2014,10,경북,군위,의성,30,64,460
2014,10,경북,김천,추풍령,35,79,439
2014,10,경북,문경,문경,7,16,442
