광역산지,시군산지,기후관측소기준,합계 : 거래금액(백만원),합계 : 거래량(톤)
전남,무안,목포,611754,844508
전남,함평,영광,182162,226295
경남,창녕,밀양,112903,168287
전남,신안,목포,68354,96017
경남,합천,합천,65981,93957
제주,제주,제주,66433,82827
경기,구리,서울,56556,77433
경남,함양,산청,54427,72865
경북,영천,영천,55152,66136
전남,고흥,고흥,41067,62057
전남,해남,해남,35272,57449
경북,고령,합천,31705,47953
경북,의성,의성,32872,41667
경북,김천,추풍령,30168,39380
충남,논산,부여,16224,29680
전북,부안,부안,24414,29038
경북,문경,문경,26653,28885
대구,달성,대구,16978,25649
경북,군위,의성,17709,25428
제주,서귀포,서귀포,22093,25130
전북,고창,고창,20717,24814
전북,완주,전주,19057,24777
경남,의령,의령군,13209,21720
충남,서산,서산,12795,20778
전북,익산,군산,12892,20475
전남,장흥,장흥,9916,18596
경북,경산,대구,11325,16117
경남,밀양,밀양,8673,14325
경남,창원의창,북창원,8268,14239
대구,대구중구,대구,9921,14122
경북,영주,영주,10844,13517
경북,안동,안동,9735,12902
전남,여수,여수,8558,12726
전남,나주,광주,8139,12317
광주,광주서구,광주,9209,12270
전남,영암,강진군,10532,11710
부산,연제,부산,7771,11096
경북,구미,구미,5913,10037
경남,거창,거창,7889,10018
