재배면적,재배비율,생산량,연,광역산지
0,0,0,14,서울
23,8265,1901,14,부산
81,6909,5596,14,대구
25,2294,573,14,인천
58,7443,4317,14,광주
3,4191,126,14,대전
37,5889,2179,14,울산
90,5170,4653,14,경기
37,2892,1070,14,강원
114,4053,4621,14,충북
448,4191,18777,14,충남
1393,5179,72143,14,전북
10124,5730,580151,14,전남
2373,7464,177115,14,경북
4609,8230,379299,14,경남
621,6681,41488,14,제주
0,0,0,15,서울
16,7271,1163,15,부산
120,6089,7307,15,대구
33,4072,1344,15,인천
83,6628,5501,15,광주
4,6628,265,15,대전
62,5646,3500,15,울산
217,4080,8853,15,경기
59,3463,2043,15,강원
81,4569,3701,15,충북
724,6628,47988,15,충남
1654,6710,110980,15,전북
12080,6319,763335,15,전남
2602,7193,187158,15,경북
5294,7237,383139,15,경남
882,7220,63678,15,제주
0,0,0,16,서울
17,6584,1119,16,부산
63,4328,2727,16,대구
25,2833,708,16,인천
93,6603,6140,16,광주
1,5707,57,16,대전
36,5167,1860,16,울산
177,4628,8192,16,경기
46,4025,1852,16,강원
117,3467,4057,16,충북
430,5707,24539,16,충남
1352,5563,75208,16,전북
9171,5923,543208,16,전남
2080,6463,134423,16,경북
3766,6581,247845,16,경남
641,6552,41997,16,제주
0,0,0,17,서울
21,7445,1564,17,부산
217,7108,15425,17,대구
35,6046,2116,17,인천
43,5700,2451,17,광주
2,6270,125,17,대전
19,7445,1415,17,울산
217,6046,13120,17,경기
16,6224,996,17,강원
65,5437,3534,17,충북
453,6270,28405,17,충남
912,6508,59351,17,전북
9521,5981,569472,17,전남
2057,7117,146390,17,경북
4749,7434,353063,17,경남
1566,6458,101134,17,제주
0,4559,22,18,서울
10,6082,621,18,부산
236,8734,20634,18,대구
32,5569,1803,18,인천
48,5580,2687,18,광주
5,5243,255,18,대전
18,6082,1097,18,울산
280,4559,12755,18,경기
33,5911,1962,18,강원
85,3836,3262,18,충북
785,5243,41141,18,충남
1632,6225,101600,18,전북
9230,5578,514896,18,전남
2087,5974,124702,18,경북
3938,6081,239459,18,경남
1116,6945,77476,18,제주
0,5502,20,19,서울
31,4881,1501,19,부산
263,9368,24662,19,대구
35,5632,1954,19,인천
65,5940,3836,19,광주
5,5570,289,19,대전
65,6451,4212,19,울산
509,5502,28031,19,경기
60,5542,3334,19,강원
88,5226,4605,19,충북
1233,5570,68687,19,충남
2646,6171,163291,19,전북
11327,4932,558659,19,전남
3369,6296,212066,19,경북
5471,6601,361120,19,경남
1254,6740,84519,19,제주
0,6540,29,20,서울
16,6463,1049,20,부산
311,8426,26244,20,대구
52,6477,3397,20,인천
33,6994,2321,20,광주
4,5547,198,20,대전
52,5984,3122,20,울산
493,6545,32282,20,경기
102,6014,6112,20,강원
155,4353,6729,20,충북
944,5500,51922,20,충남
2373,7957,188857,20,전북
8467,6873,581958,20,전남
3309,7471,247231,20,경북
4330,8170,353752,20,경남
1130,7875,89017,20,제주
0,5942,12,21,서울
13,7788,988,21,부산
356,8950,31861,21,대구
24,6595,1563,21,인천
34,7541,2591,21,광주
2,6614,119,21,대전
28,6008,1657,21,울산
345,5942,20525,21,경기
76,5864,4455,21,강원
68,4790,3275,21,충북
693,6620,45885,21,충남
1142,7896,90175,21,전북
5743,7883,452737,21,전남
2365,8098,191509,21,경북
2825,8783,248082,21,경남
955,7594,72489,21,제주
1,5921,85,22,서울
26,6173,1581,22,부산
332,7968,26487,22,대구
27,7460,2049,22,인천
42,7347,3120,22,광주
13,7046,905,22,대전
31,7016,2159,22,울산
276,5921,16352,22,경기
131,6484,8480,22,강원
106,9094,9673,22,충북
924,7046,65074,22,충남
1687,8314,140261,22,전북
6775,8547,579042,22,전남
3159,9739,307653,22,경북
4023,8423,338877,22,경남
906,8265,74856,22,제주
