weather,kind,wide,year,month
영천,4,2,21,12
영천,0,2,21,12
영천,7,2,21,12
영천,6,2,21,12
영천,4,2,21,11
영천,0,2,21,11
영천,7,2,21,11
영천,2,2,21,11
영천,4,2,21,10
영천,0,2,21,10
영천,7,2,21,10
영천,2,2,21,10
영천,6,2,21,10
영천,4,2,21,9
영천,0,2,21,9
영천,7,2,21,9
영천,2,2,21,9
영천,4,2,22,8
영천,0,2,22,8
영천,7,2,22,8
영천,2,2,22,8
영천,4,2,22,7
영천,0,2,22,7
영천,2,2,22,7
영천,4,2,22,6
영천,0,2,22,6
영천,2,2,22,6
영천,6,2,22,6
영천,4,2,22,5
영천,0,2,22,5
영천,8,2,22,5
영천,6,2,22,5
영천,4,2,22,4
영천,0,2,22,4
영천,7,2,22,4
영천,8,2,22,4
영천,4,2,22,3
영천,0,2,22,3
영천,7,2,22,3
영천,2,2,22,3
영천,6,2,22,3
영천,4,2,22,2
영천,0,2,22,2
영천,7,2,22,2
영천,2,2,22,2
영천,6,2,22,2
영천,5,2,22,2
영천,4,2,22,1
영천,0,2,22,1
영천,7,2,22,1
영천,2,2,22,1
영천,6,2,22,1
의성,4,2,21,12
의성,0,2,21,12
의성,7,2,21,12
의성,2,2,21,12
의성,6,2,21,12
의성,4,2,21,11
의성,0,2,21,11
의성,7,2,21,11
의성,2,2,21,11
의성,6,2,21,11
의성,4,2,21,10
의성,0,2,21,10
의성,7,2,21,10
의성,2,2,21,10
의성,6,2,21,10
의성,4,2,21,9
의성,0,2,21,9
의성,7,2,21,9
의성,2,2,21,9
의성,6,2,21,9
의성,4,2,22,8
의성,0,2,22,8
의성,2,2,22,8
의성,6,2,22,8
의성,7,2,22,8
의성,1,2,22,8
의성,4,2,22,7
의성,0,2,22,7
의성,2,2,22,7
의성,6,2,22,7
의성,8,2,22,7
의성,4,2,22,6
의성,0,2,22,6
의성,2,2,22,6
의성,6,2,22,6
의성,5,2,22,6
의성,7,2,22,6
의성,10,2,22,6
의성,4,2,22,5
의성,2,2,22,5
의성,8,2,22,5
의성,6,2,22,5
의성,5,2,22,5
의성,0,2,22,5
의성,4,2,22,4
의성,0,2,22,4
의성,2,2,22,4
의성,8,2,22,4
의성,6,2,22,4
의성,5,2,22,4
의성,4,2,22,3
의성,0,2,22,3
의성,7,2,22,3
의성,2,2,22,3
의성,5,2,22,3
의성,4,2,22,2
의성,0,2,22,2
의성,7,2,22,2
의성,2,2,22,2
의성,6,2,22,2
의성,5,2,22,2
의성,4,2,22,1
의성,0,2,22,1
의성,7,2,22,1
의성,2,2,22,1
의성,6,2,22,1
의성,5,2,22,1
합천,4,2,21,12
합천,7,2,21,12
합천,2,2,21,12
합천,6,2,21,12
합천,4,1,21,12
합천,0,1,21,12
합천,7,1,21,12
합천,2,1,21,12
합천,6,1,21,12
합천,4,2,21,11
합천,0,2,21,11
합천,7,2,21,11
합천,2,2,21,11
합천,4,1,21,11
합천,0,1,21,11
합천,7,1,21,11
합천,2,1,21,11
합천,6,1,21,11
합천,4,2,21,10
합천,0,2,21,10
합천,7,2,21,10
합천,2,2,21,10
합천,6,2,21,10
합천,4,1,21,10
합천,0,1,21,10
합천,7,1,21,10
합천,2,1,21,10
합천,6,1,21,10
합천,4,2,21,9
합천,0,2,21,9
합천,7,2,21,9
합천,2,2,21,9
합천,6,2,21,9
합천,1,2,21,9
합천,4,1,21,9
합천,0,1,21,9
합천,7,1,21,9
합천,2,1,21,9
합천,6,1,21,9
합천,1,1,21,9
합천,4,2,22,8
합천,0,2,22,8
합천,7,2,22,8
합천,2,2,22,8
합천,6,2,22,8
합천,1,2,22,8
합천,4,1,22,8
합천,0,1,22,8
합천,7,1,22,8
합천,2,1,22,8
합천,10,1,22,8
합천,6,1,22,8
합천,1,1,22,8
합천,4,2,22,7
합천,0,2,22,7
합천,7,2,22,7
합천,2,2,22,7
합천,6,2,22,7
합천,1,2,22,7
합천,4,1,22,7
합천,0,1,22,7
합천,2,1,22,7
합천,10,1,22,7
합천,6,1,22,7
합천,5,1,22,7
합천,1,1,22,7
합천,4,2,22,6
합천,0,2,22,6
합천,7,2,22,6
합천,2,2,22,6
합천,6,2,22,6
합천,4,1,22,6
