inn,out,year,month
24407.001,1.0,17,1
1417.701,26.206,17,10
2110.05,10.3,17,11
2619.8020000000006,4.1,17,12
6681.08,0.305,17,2
943.504,833.01,17,5
2877.0050000000006,3195.7,17,6
1323.02,4399.08,17,7
1936.7,415.33,17,8
1761.9829999999997,25.027,17,9
7490.902,3.0,18,1
17776.199,1.2,18,10
25736.005,403.0,18,11
14090.754,7.1,18,12
11659.216000000002,0.27,18,2
15412.6,0.21000000000000002,18,3
10110.03,4.3,18,4
1415.802,7.0,18,5
4789.6050000000005,104.16999999999999,18,6
12047.001,7.17,18,7
19787.199999999997,2.5,18,8
19027.606,6.05,18,9
13452.006,3.08,19,1
3537.007,4.4,19,10
5020.006,145.07999999999998,19,11
2857.8050000000003,232.2,19,12
9088.504,2.2,19,2
10063.706,29.2,19,3
6105.711,0.30000000000000004,19,4
4752.003,34.900000000000006,19,5
4233.002,155.28600000000003,19,6
3284.0330000000004,2294.8360000000002,19,7
4736.804000000001,436.75,19,8
3214.3150000000005,122.1,19,9
5570.91,821.0,20,1
1702.412,5975.833,20,10
3125.007,1558.051,20,11
1447.099,1.6600000000000001,20,12
3132.005,165.31,20,2
4655.023999999999,4.72,20,3
5370.909,10.409999999999998,20,4
2304.7019999999998,912.246,20,5
1395.514,10152.359999999999,20,6
2498.442,20950.006,20,7
1317.91,6311.0,20,8
2537.424,3558.08,20,9
2686.0110000000004,3.7600000000000002,21,1
5213.902,7.88,21,10
4786.045000000001,2.0159999999999996,21,11
6157.801,1.79,21,12
2144.8110000000006,20.19,21,2
4192.700000000001,1.76,21,3
3978.408,5.0,21,4
1757.038,55.150000000000006,21,5
1832.019,1423.4429999999998,21,6
2150.1100000000006,3491.0,21,7
3704.7110000000007,607.006,21,8
3378.003,2.2,21,9
7944.320000000001,14.0,22,1
11292.08,0.14,22,2
15459.506000000001,2.06,22,3
3842.014,41.540000000000006,22,4
1517.1129999999998,4.9,22,5
1815.108,3198.0,22,6
1759.3129999999999,3357.3,22,7
2027.112,271.10499999999996,22,8
