품종,시장,법인,광역산지,시군산지,도매가격(원/kg),연,월
양파(일반),대구북부도매,대양청과,경북,영천,793.00,21,10
양파(일반),대구북부도매,효성청과,경북,의성,803.03,21,10
양파(일반),대구북부도매,대양청과,경남,합천,769.69,21,10
양파(일반),대구북부도매,대양청과,대구,대구중구,735.00,21,10
양파(일반),대구북부도매,효성청과,경북,영천,843.43,21,10
양파(일반),대구북부도매,효성청과,경남,합천,677.51,21,10
양파(일반),대구북부도매,효성청과,경남,밀양,766.75,21,10
양파(일반),대구북부도매,대양청과,경북,성주,781.82,21,10
양파(일반),대구북부도매,대양청과,경북,고령,800.00,21,10
양파(일반),대구북부도매,대구중앙청과,경북,구미,634.09,21,10
양파(일반),대구북부도매,대양청과,경북,군위,300.00,21,10
양파(일반),부산엄궁도매,부산청과,경남,창녕,750.00,21,10
양파(일반),부산엄궁도매,부산청과,경남,함양,793.20,21,10
양파(일반),부산엄궁도매,부산청과,경북,안동,820.59,21,10
양파(일반),부산엄궁도매,부산청과,경북,의성,785.80,21,10
양파(일반),부산엄궁도매,부산청과,경남,밀양,769.55,21,10
양파(일반),서울강서도매,농협강서,경남,합천,825.00,21,10
양파(일반),서울강서도매,농협강서,전남,무안,866.44,21,10
양파(일반),광주각화도매,광주원예농협,광주,광산,575.00,21,10
양파(일반),광주각화도매,광주원예농협,광주,광주북구,550.00,21,10
양파(일반),광주각화도매,광주원예농협,강원,춘천,540.00,21,10
양파(일반),인천삼산도매,인천원협삼산,전남,무안,864.97,21,10
양파(일반),인천삼산도매,부평농산,전남,무안,853.91,21,10
양파(일반),인천삼산도매,경인농산,경북,문경,964.88,21,10
양파(일반),인천삼산도매,부평농산,전북,고창,808.69,21,10
양파(일반),인천삼산도매,인천원협삼산,경남,김해,923.33,21,10
양파(일반),인천삼산도매,부평농산,인천,부평,1016.67,21,10
양파(일반),부산반여도매,농협반여,경남,의령,776.27,21,10
양파(일반),부산반여도매,농협반여,경남,합천,684.02,21,10
양파(일반),부산반여도매,농협반여,경북,상주,760.00,21,10
양파(일반),대전노은도매,대전중앙청과,경남,합천,827.92,21,10
양파(일반),대전노은도매,대전원협,대전,유성,727.10,21,10
양파(일반),대전노은도매,대전원협,전남,무안,861.25,21,10
양파(일반),대전노은도매,대전원협,전북,완주,719.05,21,10
양파(일반),대전노은도매,대전원협,경남,함양,763.14,21,10
양파(일반),대전오정도매,농협대전,전남,무안,876.67,21,10
양파(일반),대전오정도매,농협대전,경기,화성,787.75,21,10
양파(일반),대전오정도매,농협대전,경북,군위,840.00,21,10
양파(일반),대전오정도매,대전청과,경남,합천,765.00,21,10
양파(일반),대전오정도매,농협대전,경남,합천,689.24,21,10
양파(일반),대전오정도매,대전청과,경남,함양,762.07,21,10
양파(일반),대전오정도매,대전청과,경남,창원의창,911.61,21,10
양파(일반),인천남촌도매,인천원예농협남촌,전남,무안,897.50,21,10
양파(일반),인천남촌도매,인천원예농협남촌,부산,부산강서,950.00,21,10
양파(일반),수원도매,경기청과,경북,문경,923.33,21,10
양파(일반),광주서부도매,농협광주,광주,광주서구,801.20,21,10
양파(일반),울산도매,울산중앙청과,경남,의령,800.00,21,10
양파(일반),울산도매,울산중앙청과,경남,창원의창,789.01,21,10
양파(일반),울산도매,울산중앙청과,경남,합천,825.83,21,10
양파(일반),천안도매,천안청과,전남,무안,725.33,21,10
양파(일반),익산도매,이리청과,전북,익산,866.67,21,10
양파(일반),안양도매,안양농산물,경북,의성,920.83,21,10
양파(일반),안양도매,안양농산물,부산,부산강서,900.00,21,10
