,date,qty,total,cost
17,2014-01-03,991.0099999999998,725.4800000000001,732.0612304618523
19,2014-01-04,533.11,399.9700000000001,750.2579205042113
20,2014-01-06,981.9299999999998,699.0299999999999,711.8939231920809
21,2014-01-07,662.8900000000001,481.37999999999994,726.1838314049086
22,2014-01-08,649.53,451.31,694.825489199883
23,2014-01-09,593.62,394.9,665.2403894747481
0,2014-01-10,584.2300000000001,375.90999999999997,643.4281019461511
1,2014-01-11,423.37000000000006,272.59,643.8576186314571
2,2014-01-13,619.6800000000003,415.93999999999994,671.2174025303378
3,2014-01-14,489.5300000000001,342.8400000000001,700.3452290972975
4,2014-01-15,764.85,519.8199999999999,679.6365300385695
5,2014-01-16,565.21,382.41,676.5803860512021
6,2014-01-17,689.37,462.03999999999996,670.2351422313126
7,2014-01-18,578.2600000000001,398.55,689.2228409366028
8,2014-01-20,696.8499999999999,489.45,702.3749730932052
9,2014-01-21,769.6700000000001,538.16,699.2087518027206
10,2014-01-22,715.2,499.99,699.091163310962
11,2014-01-23,688.3000000000001,469.44000000000005,682.0281853842802
12,2014-01-24,739.65,475.41999999999996,642.7634692084093
13,2014-01-25,574.42,388.66,676.6129313046204
14,2014-01-27,861.2100000000002,594.56,690.3774921331614
15,2014-01-28,724.32,511.38,706.013916500994
16,2014-01-29,686.99,472.81,688.2341809924453
18,2014-01-30,32.0,20.8,650.0
120,2014-02-03,367.41,283.75,772.2979777360441
121,2014-02-04,575.74,408.61,709.7127175461145
122,2014-02-05,598.1400000000001,404.95000000000005,677.0154144514662
123,2014-02-06,563.8000000000001,373.83,663.0542745654486
124,2014-02-07,593.84,390.57,657.7024114239525
125,2014-02-08,597.7100000000002,380.2200000000001,636.1278881062722
103,2014-02-10,584.2400000000001,382.44,654.5940024647404
104,2014-02-11,665.62,430.0500000000002,646.0893602956645
105,2014-02-12,648.1900000000002,420.77,649.1460837100232
106,2014-02-13,626.47,391.96,625.6644372436031
107,2014-02-14,783.3899999999999,463.19,591.2636107175226
108,2014-02-15,562.33,330.08,586.9862891896217
109,2014-02-17,594.8900000000001,341.5199999999998,574.0893274386857
110,2014-02-18,699.7500000000001,396.61999999999995,566.8024294390852
111,2014-02-19,550.96,312.96,568.0267170030492
112,2014-02-20,612.0700000000002,332.61999999999995,543.4345744767753
113,2014-02-21,724.2000000000002,390.08,538.6357359845346
114,2014-02-22,644.07,332.4,516.0929712608878
115,2014-02-24,598.3700000000001,310.28999999999996,518.558751274295
116,2014-02-25,515.2199999999999,287.04,557.1212297659254
117,2014-02-26,732.1,406.8400000000001,555.7164321813962
118,2014-02-27,777.5500000000001,418.2,537.843225516044
119,2014-02-28,760.19,412.9899999999999,543.2720767176625
126,2014-03-01,804.53,398.11999999999995,494.8479236324313
145,2014-03-03,809.3100000000001,401.62999999999994,496.2622480878772
147,2014-03-04,780.6,384.98999999999984,493.1975403535739
148,2014-03-05,876.4999999999999,441.65000000000003,503.87906446092427
149,2014-03-06,860.5000000000001,435.5,506.1011040092969
150,2014-03-07,843.06,390.6499999999999,463.3715275306621
151,2014-03-08,797.3399999999999,341.3999999999999,428.173677477613
127,2014-03-10,905.53,395.20000000000005,436.4294943292879
128,2014-03-11,794.9200000000002,348.58000000000004,438.5095355507472
129,2014-03-12,830.34,386.1,464.9902449598959
130,2014-03-13,707.4600000000002,333.11000000000007,470.853475814887
131,2014-03-14,850.4100000000002,393.11999999999995,462.2711398031536
132,2014-03-15,816.97,366.84000000000003,449.02505599960836
133,2014-03-17,916.9499999999999,424.9099999999999,463.3949506516167
134,2014-03-18,772.2700000000001,365.50999999999993,473.29301928082134
135,2014-03-19,780.97,345.79,442.7698887281201
136,2014-03-20,790.4499999999999,342.63,433.4619520526283
137,2014-03-21,745.71,346.83,465.1003741400812
138,2014-03-22,619.3199999999998,296.18,478.23419233998595
139,2014-03-24,880.3200000000002,425.43999999999994,483.2788077062885
140,2014-03-25,725.67,360.53,496.82362506373426
141,2014-03-26,736.33,383.05,520.215120937623
142,2014-03-27,801.6000000000003,404.57000000000005,504.7030938123752
143,2014-03-28,677.8199999999999,352.86,520.5806851376473
144,2014-03-29,735.85,383.93999999999994,521.7639464564788
146,2014-03-31,815.09,418.51,513.4525021776736
152,2014-04-01,853.3800000000001,429.53,503.32794300311696
162,2014-04-02,866.5199999999999,443.7700000000001,512.1289756728064
171,2014-04-03,823.2600000000001,445.5400000000001,541.1899035541627
173,2014-04-04,804.6600000000001,445.0900000000001,553.1404568389135
174,2014-04-05,889.5799999999998,439.78999999999996,494.3793700397941
175,2014-04-07,1252.87,611.1700000000001,487.8159745224965
176,2014-04-08,1076.65,546.15,507.2679143639994
177,2014-04-09,1000.8500000000001,512.5799999999999,512.1446770245291
153,2014-04-10,954.06,488.2700000000002,511.78122969205316
154,2014-04-11,1017.7600000000002,519.8600000000001,510.78839805062097
155,2014-04-12,794.5299999999999,420.62000000000006,529.3947365108934
156,2014-04-14,1140.5800000000002,607.78,532.8692419646144
157,2014-04-15,1086.7600000000004,572.7599999999998,527.0344878354002
158,2014-04-16,783.93,418.83000000000015,534.269641422066
159,2014-04-17,713.1699999999998,401.21999999999986,562.5867605199321
160,2014-04-18,614.5300000000001,381.28999999999996,620.4579109237952
161,2014-04-19,491.88999999999993,312.4200000000001,635.1420032934195
163,2014-04-21,836.8,508.47999999999996,607.6481835564053
164,2014-04-22,677.7899999999998,422.57,623.4526918367047
165,2014-04-23,785.5100000000001,475.13999999999993,604.88090539904
166,2014-04-24,840.46,502.59,597.9939556909311
167,2014-04-25,811.4200000000003,460.24000000000007,567.2031746814225
168,2014-04-26,780.3,423.56999999999994,542.8296808919646
169,2014-04-28,759.9000000000001,431.3300000000001,567.6141597578629
170,2014-04-29,510.02,303.20000000000005,594.486490725854
172,2014-04-30,552.09,337.3100000000001,610.9692260319877
178,2014-05-01,783.1700000000001,475.1400000000001,606.68820307213
187,2014-05-02,1091.1699999999998,634.7600000000001,581.7242042944731
197,2014-05-03,1167.09,690.5200000000001,591.659597803083
200,2014-05-05,1336.3400000000001,764.4799999999998,572.069982190161
201,2014-05-06,766.3100000000003,470.4800000000001,613.9551878482597
202,2014-05-07,1059.8099999999997,612.8899999999998,578.3017710721732
203,2014-05-08,1444.4800000000002,756.6299999999999,523.8078754984491
204,2014-05-09,1119.23,582.6399999999998,520.5721790874081
179,2014-05-10,1203.7599999999998,609.3900000000002,506.2387851398953
180,2014-05-12,1378.098,607.664,440.94396770041027
181,2014-05-13,907.26,433.35,477.6469810197738
182,2014-05-14,1050.3,547.0199999999999,520.8226221079691
183,2014-05-15,523.87,311.5800000000001,594.7658770305612
184,2014-05-16,1289.3800000000003,698.8299999999999,541.9891730909427
185,2014-05-17,1308.3600000000001,673.599,514.8422452535999
186,2014-05-19,1883.7199999999998,830.14,440.691822563863
188,2014-05-20,1394.5099999999998,619.85,444.4930477371981
189,2014-05-21,765.6100000000002,359.8299999999999,469.9912488081397
190,2014-05-22,1391.1499999999996,609.1899999999999,437.9038924630702
191,2014-05-23,1435.0000000000002,590.9300000000001,411.79790940766554
