kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
4,5,23,2,26,598.39,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
4,5,79,2,26,662.87,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
4,6,25,2,26,586.33,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
4,17,48,2,26,766.64,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
0,5,17,2,26,709.49,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
0,8,29,2,26,574.66,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
0,31,20,2,26,721.43,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
0,31,73,2,26,503.32,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
7,10,30,2,26,770.78,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
2,10,60,2,26,822.14,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
2,3,55,2,26,647.75,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
2,8,33,2,26,700.0,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
2,12,39,2,26,805.85,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
6,31,20,2,26,13750.0,21,8,3159,9739,307653,영천,2027.112,271.10499999999996
4,5,23,2,29,732.12,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,5,79,2,29,666.7,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,21,35,2,29,754.33,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,6,25,2,29,709.22,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,6,26,2,29,665.94,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,7,14,2,29,748.79,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,20,24,2,29,752.27,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,18,76,2,29,920.11,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,30,72,2,29,640.26,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,5,17,2,29,750.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,3,13,2,29,769.01,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,28,70,2,29,726.75,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,13,41,2,29,693.22,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,18,76,2,29,684.85,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,30,71,2,29,536.28,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,4,8,2,29,555.34,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,14,43,2,29,490.35,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,14,42,2,29,387.03,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
2,3,55,2,29,504.46,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
2,17,47,2,29,575.71,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,5,79,2,29,816.65,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,5,23,2,29,750.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,6,26,2,29,800.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,7,14,2,29,615.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,28,70,2,29,796.43,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,4,8,2,29,660.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,14,43,2,29,800.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,5,23,2,2,653.05,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,5,79,2,2,578.29,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,5,22,2,2,447.17,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,8,15,2,2,387.8,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,6,26,2,2,676.53,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,6,25,2,2,375.13,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,7,14,2,2,781.65,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,5,21,2,2,262.63,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,5,17,2,2,643.15,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,3,13,2,2,839.23,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,3,55,2,2,854.01,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,9,16,2,2,100.0,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
0,20,28,2,2,912.3,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
7,10,75,2,2,943.08,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
7,10,30,2,2,944.43,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
2,10,75,2,2,935.32,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
2,10,60,2,2,943.25,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
2,10,30,2,2,899.92,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
2,3,55,2,2,733.06,21,8,3159,9739,307653,합천,2027.112,271.10499999999996
4,5,23,2,7,546.01,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
4,5,79,2,7,350.61,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
4,5,22,2,7,670.0,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
4,30,72,2,7,322.8,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
4,4,9,2,7,710.78,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
0,5,17,2,7,525.0,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
0,4,8,2,7,629.3,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
2,10,60,2,7,633.89,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
6,4,9,2,7,500.0,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
1,4,8,2,7,651.67,21,8,3159,9739,307653,구미,2027.112,271.10499999999996
4,5,23,2,8,697.46,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,5,79,2,8,658.2,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,5,22,2,8,666.96,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,8,15,2,8,697.62,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,6,26,2,8,617.8,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,7,14,2,8,692.19,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,7,27,2,8,613.16,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,4,9,2,8,780.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,3,13,2,8,600.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,8,29,2,8,733.41,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
0,4,8,2,8,704.56,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
2,8,33,2,8,724.71,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
2,17,47,2,8,715.16,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
6,5,23,2,8,675.0,21,8,3159,9739,307653,의성,2027.112,271.10499999999996
4,5,23,2,21,602.47,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,5,79,2,21,473.24,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,9,34,2,21,761.66,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,8,15,2,21,627.27,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,6,25,2,21,711.0,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,16,46,2,21,757.67,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
0,10,10,2,21,1250.0,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
0,8,29,2,21,613.72,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
0,6,25,2,21,761.67,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
0,14,42,2,21,639.82,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
0,14,43,2,21,366.58,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
2,3,55,2,21,700.82,21,8,3159,9739,307653,안동,2027.112,271.10499999999996
4,21,3,2,15,919.68,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,6,26,2,15,966.67,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,12,2,2,15,954.09,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,27,66,2,15,1039.9,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,16,45,2,15,897.84,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,16,46,2,15,911.8,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,30,72,2,15,521.15,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
0,30,71,2,15,775.69,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
0,14,42,2,15,530.0,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
7,3,13,2,15,950.3,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
7,11,11,2,15,922.86,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
2,10,60,2,15,642.92,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
6,12,2,2,15,1349.71,21,8,3159,9739,307653,문경,2027.112,271.10499999999996
4,7,27,2,25,535.64,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
4,18,76,2,25,1001.61,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
0,5,21,2,25,610.0,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
0,3,55,2,25,662.81,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
0,18,76,2,25,1200.0,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
7,10,75,2,25,770.85,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
2,10,75,2,25,622.57,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
2,10,37,2,25,616.06,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
2,3,55,2,25,582.34,21,8,3159,9739,307653,영주,2027.112,271.10499999999996
4,5,23,2,9,602.02,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,9,34,2,9,500.0,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,21,54,2,9,709.19,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,6,25,2,9,791.93,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,7,14,2,9,555.0,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,7,27,2,9,846.67,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,16,46,2,9,766.98,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,4,9,2,9,606.32,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
0,10,10,2,9,959.01,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
0,5,17,2,9,675.53,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
0,28,70,2,9,677.52,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
0,4,8,2,9,747.85,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
7,10,75,2,9,822.94,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
7,10,30,2,9,657.5,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
2,10,10,2,9,636.13,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
2,10,75,2,9,703.87,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
2,10,30,2,9,609.55,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
2,9,77,2,9,743.15,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
6,28,70,2,9,750.0,21,8,3159,9739,307653,추풍령,2027.112,271.10499999999996
4,5,22,2,1,613.23,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,5,79,2,1,505.58,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,5,23,2,1,433.48,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,9,34,2,1,568.87,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,8,15,2,1,484.33,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,6,26,2,1,613.6,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,7,27,2,1,731.78,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
0,5,17,2,1,566.77,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
0,8,29,2,1,841.46,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
0,26,19,2,1,665.0,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
2,8,33,2,1,624.14,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
6,9,34,2,1,916.5,21,8,3159,9739,307653,대구,2027.112,271.10499999999996
4,5,79,1,37,670.41,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,5,23,1,37,657.23,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,5,22,1,37,400.0,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,9,34,1,37,695.15,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,21,54,1,37,751.87,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,21,35,1,37,801.17,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,8,15,1,37,708.34,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,6,26,1,37,759.03,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,6,25,1,37,813.15,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,7,14,1,37,787.4,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
4,7,27,1,37,566.19,21,8,4023,8423,338877,합천,2027.112,271.10499999999996
