,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
0,4,5,23,2,26,598.39,21,8,3159,9739,307653,23,2027.112,271.105
1,4,5,79,2,26,662.87,21,8,3159,9739,307653,23,2027.112,271.105
2,4,6,25,2,26,586.33,21,8,3159,9739,307653,23,2027.112,271.105
3,4,17,48,2,26,766.64,21,8,3159,9739,307653,23,2027.112,271.105
4,0,5,17,2,26,709.49,21,8,3159,9739,307653,23,2027.112,271.105
5,0,8,29,2,26,574.66,21,8,3159,9739,307653,23,2027.112,271.105
6,0,31,20,2,26,721.43,21,8,3159,9739,307653,23,2027.112,271.105
7,0,31,73,2,26,503.32,21,8,3159,9739,307653,23,2027.112,271.105
8,7,10,30,2,26,770.78,21,8,3159,9739,307653,23,2027.112,271.105
9,2,10,60,2,26,822.14,21,8,3159,9739,307653,23,2027.112,271.105
10,2,3,55,2,26,647.75,21,8,3159,9739,307653,23,2027.112,271.105
11,2,8,33,2,26,700.0,21,8,3159,9739,307653,23,2027.112,271.105
12,2,12,39,2,26,805.85,21,8,3159,9739,307653,23,2027.112,271.105
13,6,31,20,2,26,13750.0,21,8,3159,9739,307653,23,2027.112,271.105
14,4,5,23,2,29,732.12,21,8,3159,9739,307653,25,2027.112,271.105
15,4,5,79,2,29,666.7,21,8,3159,9739,307653,25,2027.112,271.105
16,4,21,35,2,29,754.33,21,8,3159,9739,307653,25,2027.112,271.105
17,4,6,25,2,29,709.22,21,8,3159,9739,307653,25,2027.112,271.105
18,4,6,26,2,29,665.94,21,8,3159,9739,307653,25,2027.112,271.105
19,4,7,14,2,29,748.79,21,8,3159,9739,307653,25,2027.112,271.105
20,4,20,24,2,29,752.27,21,8,3159,9739,307653,25,2027.112,271.105
21,4,18,76,2,29,920.11,21,8,3159,9739,307653,25,2027.112,271.105
22,4,30,72,2,29,640.26,21,8,3159,9739,307653,25,2027.112,271.105
23,0,5,17,2,29,750.0,21,8,3159,9739,307653,25,2027.112,271.105
24,0,3,13,2,29,769.01,21,8,3159,9739,307653,25,2027.112,271.105
25,0,28,70,2,29,726.75,21,8,3159,9739,307653,25,2027.112,271.105
26,0,13,41,2,29,693.22,21,8,3159,9739,307653,25,2027.112,271.105
27,0,18,76,2,29,684.85,21,8,3159,9739,307653,25,2027.112,271.105
28,0,30,71,2,29,536.28,21,8,3159,9739,307653,25,2027.112,271.105
29,0,4,8,2,29,555.34,21,8,3159,9739,307653,25,2027.112,271.105
30,0,14,43,2,29,490.35,21,8,3159,9739,307653,25,2027.112,271.105
31,0,14,42,2,29,387.03,21,8,3159,9739,307653,25,2027.112,271.105
32,2,3,55,2,29,504.46,21,8,3159,9739,307653,25,2027.112,271.105
33,2,17,47,2,29,575.71,21,8,3159,9739,307653,25,2027.112,271.105
34,6,5,79,2,29,816.65,21,8,3159,9739,307653,25,2027.112,271.105
35,6,5,23,2,29,750.0,21,8,3159,9739,307653,25,2027.112,271.105
36,6,6,26,2,29,800.0,21,8,3159,9739,307653,25,2027.112,271.105
