year,region,area_size,productivity,production_volume,month,city1,city2,sales_amounts,sales_volume,prices,AT_1,AT_2,AT_3,AT_4,AT_5,AT_6,AT_7,AT_8,AT_9,AT_10,AT_11,AT_12,HT_1,HT_2,HT_3,HT_4,HT_5,HT_6,HT_7,HT_8,HT_9,HT_10,HT_11,HT_12,LT_1,LT_2,LT_3,LT_4,LT_5,LT_6,LT_7,LT_8,LT_9,LT_10,LT_11,LT_12,RAIN_1,RAIN_2,RAIN_3,RAIN_4,RAIN_5,RAIN_6,RAIN_7,RAIN_8,RAIN_9,RAIN_10,RAIN_11,RAIN_12,SUN_1,SUN_2,SUN_3,SUN_4,SUN_5,SUN_6,SUN_7,SUN_8,SUN_9,SUN_10,SUN_11,SUN_12
2014,대구,120,6089,7307,3,달성,대구,6,14,385,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,5,달성,대구,10,25,392,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,6,달성,대구,16,42,379,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,8,달성,대구,87,191,456,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,9,달성,대구,75,151,498,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,10,달성,대구,61,135,454,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,대구,120,6089,7307,12,달성,대구,7,14,500,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,경북,2602,7193,187158,1,경산,대구,91,128,710,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,경북,2602,7193,187158,2,경산,대구,272,442,616,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
2014,경북,2602,7193,187158,3,경산,대구,155,386,402,2.8,4.5,9.7,15.5,21.2,23.4,27.0,24.7,22.5,16.4,10.3,1.2,8.1,9.3,15.3,21.5,27.9,28.4,31.9,28.8,27.8,22.0,15.7,5.8,-1.7,0.3,4.6,10.1,15.1,19.4,23.1,21.7,18.1,11.6,5.9,-2.8,1.7,7.0,110.5,105.0,24.4,28.2,142.6,402.8,110.5,88.6,45.3,5.5,233.0,137.3,219.4,211.1,304.3,161.8,193.0,122.1,209.8,230.1,192.0,214.5
