,kind,market,corp,wide,city,price,year,month,area,ratio,amount,weather,inn,out
0,8,5,23,1,16,631.27,16,5,4749,7434,353063,10,943.504,833.01
1,1,10,75,6,24,1996.12,21,4,6775,8547,579042,0,3842.014,41.540000000000006
2,1,10,60,1,33,825.31,19,5,4330,8170,353752,10,2304.702,912.246
3,7,10,75,9,11,1072.9,17,10,785,5243,41141,13,17776.199,1.2
4,4,9,34,1,33,826.9,16,12,4749,7434,353063,10,2619.802000000001,4.1
5,6,9,34,1,16,291.55,20,6,2825,8783,248082,10,1832.019,1423.4429999999998
6,4,21,54,7,3,1021.14,20,4,1142,7896,90175,2,3978.408,5.0
7,4,28,67,9,11,618.88,18,7,1233,5570,68687,13,3284.0330000000013,2294.8360000000002
8,4,6,26,9,11,601.11,18,5,1233,5570,68687,13,4752.003,34.90000000000001
9,0,6,25,1,37,323.57,19,9,4330,8170,353752,30,2537.424,3558.08
10,7,1,6,6,10,347.5,18,11,11327,4932,558659,4,5020.0059999999985,145.07999999999996
11,3,3,7,0,6,943.03,20,4,345,5942,20525,18,3978.408,5.0
12,8,5,23,1,35,972.78,17,5,3938,6081,239459,15,1415.802,7.0
13,4,8,15,8,32,966.54,19,4,1130,7875,89017,28,5370.9090000000015,10.409999999999998
14,0,24,61,1,37,1127.97,20,11,2825,8783,248082,30,4786.045000000001,2.016
15,6,2,78,6,36,1124.86,21,2,6775,8547,579042,21,11292.08,0.14
16,4,20,24,1,35,971.7,20,3,2825,8783,248082,15,4192.700000000002,1.76
17,4,20,24,1,37,1461.67,21,1,4023,8423,338877,30,7944.320000000002,14.0
18,4,13,41,6,14,858.43,20,5,5743,7883,452737,8,1757.0379999999998,55.15000000000001
19,8,1,4,6,14,319.38,20,6,5743,7883,452737,8,1832.019,1423.4429999999998
20,4,17,48,1,33,659.44,20,7,2825,8783,248082,10,2150.1100000000006,3491.0
21,6,15,44,6,14,602.78,16,9,9521,5981,569472,8,1761.9829999999995,25.027
22,1,2,78,6,14,363.81,18,10,11327,4932,558659,8,3537.007,4.4
23,2,10,10,2,8,1941.29,21,2,3159,9739,307653,25,11292.08,0.14
24,6,16,46,7,27,558.62,20,7,1142,7896,90175,27,2150.1100000000006,3491.0
25,6,20,24,7,30,538.46,19,1,2373,7957,188857,6,5570.91,821.0
26,4,16,45,2,15,1830.74,21,1,3159,9739,307653,9,7944.320000000002,14.0
27,6,5,79,2,8,602.88,18,8,3369,6296,212066,25,4736.804000000001,436.75
28,4,5,79,6,14,673.81,18,3,11327,4932,558659,8,10063.706,29.2
29,0,22,57,7,27,406.84,19,6,2373,7957,188857,27,1395.514,10152.36
30,0,15,18,6,36,631.48,20,6,5743,7883,452737,21,1832.019,1423.4429999999998
31,0,28,70,7,27,548.44,21,5,1687,8314,140261,27,1517.1129999999994,4.9
32,4,6,26,9,19,614.4,18,10,1233,5570,68687,17,3537.007,4.4
33,4,7,27,6,4,732.14,20,5,5743,7883,452737,3,1757.0379999999998,55.15000000000001
34,7,10,75,2,26,840.27,18,2,3369,6296,212066,23,9088.504,2.2
35,0,2,31,2,9,895.75,20,9,2365,8098,191509,29,3378.003,2.2
36,6,1,5,6,31,196.13,19,7,8467,6873,581958,26,2498.442,20950.006
37,0,3,13,6,14,728.21,21,4,6775,8547,579042,8,3842.014,41.540000000000006
38,8,10,10,8,18,1171.67,21,3,906,8265,74856,16,15459.506000000001,2.06
39,7,13,41,1,37,657.81,19,3,4330,8170,353752,30,4655.0239999999985,4.72
40,0,8,15,1,37,900.37,20,5,2825,8783,248082,30,1757.0379999999998,55.15000000000001
41,5,5,23,2,1,535.71,19,2,3309,7471,247231,7,3132.005,165.31
42,0,10,10,6,14,340.95,19,5,8467,6873,581958,8,2304.702,912.246
43,6,8,29,1,33,775.68,21,1,4023,8423,338877,10,7944.320000000002,14.0
44,0,25,63,1,28,586.82,19,5,4330,8170,353752,24,2304.702,912.246
45,0,10,10,6,36,410.6,19,2,8467,6873,581958,21,3132.005,165.31
46,4,7,14,7,30,541.79,21,7,1687,8314,140261,6,1759.3129999999999,3357.3
47,8,5,21,1,35,818.33,21,4,4023,8423,338877,15,3842.014,41.540000000000006
48,4,18,76,6,14,834.67,21,8,6775,8547,579042,8,2027.112,271.105
49,4,20,24,2,29,310.24,19,7,3309,7471,247231,25,2498.442,20950.006
50,4,31,74,2,26,429.16,21,7,3159,9739,307653,23,1759.3129999999999,3357.3
51,7,10,75,2,9,867.12,18,1,3369,6296,212066,29,13452.006,3.08
52,4,6,26,6,31,1248.34,21,1,6775,8547,579042,26,7944.320000000002,14.0
53,0,10,60,7,27,649.69,18,11,2646,6171,163291,27,5020.0059999999985,145.07999999999996
54,0,10,60,1,35,664.56,18,10,5471,6601,361120,15,3537.007,4.4
55,10,10,60,6,14,890.53,17,6,9230,5578,514896,8,4789.605000000001,104.17
56,6,5,79,1,33,459.36,19,11,4330,8170,353752,10,3125.007,1558.0510000000004
57,7,12,39,6,36,750.65,16,8,9521,5981,569472,21,1936.7,415.33
58,6,11,36,6,14,458.6,20,7,5743,7883,452737,8,2150.1100000000006,3491.0
59,4,12,2,2,29,712.45,16,8,2057,7117,146390,25,1936.7,415.33
60,7,1,6,6,14,775.05,18,1,11327,4932,558659,8,13452.006,3.08
61,0,5,21,2,7,810.0,19,4,3309,7471,247231,5,5370.9090000000015,10.409999999999998
62,7,12,39,1,35,965.0,18,1,5471,6601,361120,15,13452.006,3.08
63,7,12,39,1,28,650.0,18,10,5471,6601,361120,24,3537.007,4.4
64,0,11,36,4,12,615.0,18,9,263,9368,24662,7,3214.3150000000005,122.1
65,10,24,62,1,37,662.49,18,6,5471,6601,361120,30,4233.002,155.28600000000003
66,5,2,78,6,24,111.75,19,7,8467,6873,581958,0,2498.442,20950.006
67,2,8,33,9,19,133.33,19,7,944,5500,51922,17,2498.442,20950.006
68,8,13,41,6,31,732.63,20,4,5743,7883,452737,26,3978.408,5.0
69,8,9,16,2,8,913.86,20,5,2365,8098,191509,25,1757.0379999999998,55.15000000000001
70,4,20,52,1,0,1200.88,20,11,2825,8783,248082,1,4786.045000000001,2.016
71,4,5,22,2,2,525.58,20,7,2365,8098,191509,30,2150.1100000000006,3491.0
72,4,5,23,4,13,369.72,19,8,311,8426,26244,7,1317.91,6311.0
73,4,5,79,1,33,542.45,20,5,2825,8783,248082,10,1757.0379999999998,55.15000000000001
74,0,15,18,8,32,909.17,20,4,955,7594,72489,28,3978.408,5.0
75,4,13,40,6,38,253.29,18,6,11327,4932,558659,31,4233.002,155.28600000000003
76,0,20,28,1,33,600.0,20,1,2825,8783,248082,10,2686.0110000000004,3.76
77,5,27,66,9,19,454.7,19,11,944,5500,51922,17,3125.007,1558.0510000000004
78,8,10,75,2,26,510.57,16,5,2057,7117,146390,23,943.504,833.01
79,4,28,67,6,36,785.9,18,11,11327,4932,558659,21,5020.0059999999985,145.07999999999996
80,4,5,22,4,13,703.23,18,5,263,9368,24662,7,4752.003,34.90000000000001
81,6,7,27,1,33,694.44,21,7,4023,8423,338877,10,1759.3129999999999,3357.3
82,4,5,23,1,0,953.51,20,3,2825,8783,248082,1,4192.700000000002,1.76
83,2,1,5,6,36,526.48,19,5,8467,6873,581958,21,2304.702,912.246
84,6,19,51,7,30,562.47,20,9,1142,7896,90175,6,3378.003,2.2
85,4,21,54,2,29,923.47,20,11,2365,8098,191509,25,4786.045000000001,2.016
